project,sprint.name,startDate,endDate,velocity,work_capacity,focus_factor,sprint_length,baseline,velocity_increase,P,H,fields.assignee.name,old_devs,old_devs_abs,new_devs_abs,turnover_abs,current_devs_abs,turnover,new_devs,sprint.nbr,TSI,TSI_inv,individual_velocity
nexus,Sprint 18,2014-05-27 19:32:55.129000+00:00,2014-06-10 18:00:00+00:00,3.0,6.0,0.5,13,19.666666666666668,15.254237288135592,1,0,[nan 'jdillon' 'rseddon' 'plynch' 'alin'],['jdillon' 'alin' 'plynch' 'rseddon'],4.0,1.0,0.0,5,0.0,0.05555555555555555,12,1.25,0.8,0.6
nexus,Sprint 19,2014-06-10 19:31:02.533000+00:00,2014-06-24 18:00:00+00:00,2.5,16.5,0.15151515151515152,13,19.666666666666668,12.711864406779661,1,0,['alin' 'cstamas' 'jdillon' 'rseddon' 'plynch'],[nan 'jdillon' 'rseddon' 'plynch' 'alin'],5.0,1.0,1.0,5,0.05,0.05,13,1.5,0.6666666666666666,0.5
nexus,Sprint 20,2014-06-24 19:47:26.924000+00:00,2014-07-08 18:00:00+00:00,4.0,14.0,0.2857142857142857,13,19.666666666666668,20.338983050847457,1,0,['cstamas' 'rseddon' 'mprescott' 'alin' 'plynch'],['alin' 'plynch' 'cstamas' nan],4.0,2.0,1.0,5,0.05555555555555555,0.1111111111111111,14,1.75,0.5714285714285714,0.8
nexus,Sprint 21,2014-07-08 19:27:29.685000+00:00,2014-07-22 18:00:00+00:00,3.0,52.5,0.05714285714285714,13,19.666666666666668,15.254237288135592,1,0,['mprescott' 'cstamas' 'jdillon' 'alin' nan],['cstamas' 'rseddon' 'mprescott' 'alin' 'plynch'],5.0,2.0,2.0,5,0.1,0.1,15,2.0,0.5,0.6
nexus,Sprint 23,2014-08-05 20:59:53.773000+00:00,2014-08-19 18:00:00+00:00,6.5,26.5,0.24528301886792453,13,19.666666666666668,33.05084745762712,1,0,['jdillon' nan],['jdillon' nan],2.0,0.0,0.0,2,0.0,0.0,16,1.0,1.0,3.25
nexus,Sprint 24,2014-08-19 18:24:50.985000+00:00,2014-09-02 18:00:00+00:00,30.0,59.0,0.5084745762711864,13,19.666666666666668,152.54237288135593,2,0,['jdillon' nan],['jdillon' nan],2.0,0.0,0.0,2,0.0,0.0,17,1.0,1.0,15.0
nexus,Sprint 25,2014-09-02 18:41:44.578000+00:00,2014-09-16 18:00:00+00:00,13.5,161.0,0.08385093167701864,13,19.666666666666668,68.64406779661016,1,0,['mprescott' nan 'plynch' 'alin' 'jdillon'],['jdillon' nan],2.0,3.0,0.0,5,0.0,0.21428571428571427,18,1.75,0.5714285714285714,2.7
nexus,Sprint 26,2014-09-16 19:44:16.014000+00:00,2014-09-30 18:00:00+00:00,9.5,18.0,0.5277777777777778,13,19.666666666666668,48.30508474576271,1,0,['jdillon' nan 'scarlucci' 'alin'],['mprescott' nan 'plynch' 'alin' 'jdillon'],5.0,1.0,2.0,4,0.1111111111111111,0.05555555555555555,19,1.75,0.5714285714285714,2.375
nexus,Sprint 27,2014-09-30 18:35:37.192000+00:00,2014-10-14 18:00:00+00:00,8.0,28.5,0.2807017543859649,13,19.666666666666668,40.67796610169491,1,0,['mprescott' 'jdillon' nan 'rseddon' 'dsauble'],['jdillon' nan 'scarlucci' 'alin'],4.0,3.0,2.0,5,0.1111111111111111,0.16666666666666666,20,2.25,0.4444444444444444,1.6
nexus,Sprint 28,2014-10-14 18:42:29.971000+00:00,2014-10-28 18:00:00+00:00,18.0,146.5,0.12286689419795221,13,19.666666666666668,91.52542372881355,1,0,['plynch' 'alin' 'rseddon' 'mprescott' nan 'jdillon' 'scarlucci'],['mprescott' 'jdillon' nan 'rseddon' 'dsauble'],5.0,3.0,1.0,7,0.041666666666666664,0.125,21,2.0,0.5,2.5714285714285716
