project,sprint.name,startDate,endDate,velocity,work_capacity,focus_factor,sprint_length,baseline,velocity_increase,P,H,fields.assignee.name,old_devs,old_devs_abs,new_devs_abs,turnover_abs,current_devs_abs,turnover,new_devs,sprint.nbr,TSI,TSI_inv,individual_velocity,sigma_velocity,sigma_focusfactor,zone_velocity,zone_focusfactor
apstud,2014 Sprint 01,2013-11-29 00:00:00+00:00,2014-01-17 00:00:00+00:00,8.0,8.0,1.0,49,162.0,4.938271604938271,1,0,['mxia'],['mxia'],1.0,0.0,0.0,1,0.0,0.0,25,1.0,1.0,8.0,-2.8005517241379305,1.6054414635296326,N,N
mesos,Q2'14 Sprint 2,2014-05-15 21:33:30.978000+00:00,2014-05-29 00:00:00+00:00,55.0,237.0,0.2320675105485232,13,59.0,93.22033898305084,1,0,['dhamon' 'xujyan' 'greggomann' 'vinodkone' nan],[nan],1.0,4.0,0.0,5,0.0,0.3333333333333333,1,1.8,0.5555555555555556,11.0,0.5545565795717406,0.24677583040989712,N,N
mesos,Q2 Sprint 3,2014-05-31 00:00:30.253000+00:00,2014-06-12 00:00:00+00:00,102.0,194.0,0.5257731958762887,11,59.0,172.8813559322034,2,0,['idownes' 'vinodkone' 'dhamon' 'xujyan' nan],"['lins05' 'jieyu' 'kaysoky' 'jojy' 'nfnt' 'jvanremoortere' 'greggomann'
 'js84' 'gilbert' 'vinodkone' 'gyliu' 'karya' 'anandmazumdar' 'qianzhang'
 'bbannier' 'zhitao' 'arojas' 'jlarriba' 'alexr' 'neilc' 'guoger']",21.0,4.0,20.0,5,0.38461538461538464,0.07692307692307693,2,5.8,0.1724137931034483,20.4,1.2019610693591896,1.374775830409897,N,N
mesos,Q2 Sprint 4,2014-06-13 23:07:41.428000+00:00,2014-06-26 00:00:00+00:00,20.0,67.0,0.29850746268656714,12,59.0,33.89830508474576,1,0,['xujyan' 'idownes' 'dhamon'],['idownes' 'vinodkone' 'dhamon' 'xujyan' nan],5.0,0.0,2.0,3,0.125,0.0,3,1.4,0.7142857142857143,6.666666666666668,0.02964827536889295,0.5019437408576581,N,N
mesos,Q3 Sprint 1,2014-07-14 19:03:06.602000+00:00,2014-07-24 00:00:00+00:00,111.0,273.0,0.4065934065934066,9,59.0,188.13559322033902,2,0,"['vinodkone' nan 'idownes' 'xujyan' 'alexandra.sava' 'bmahler'
 'benjaminhindman' 'bernd-mesos']",['dhamon' 'xujyan' 'greggomann' 'vinodkone' nan],5.0,5.0,2.0,8,0.07692307692307693,0.19230769230769232,4,2.4,0.4166666666666667,13.875,0.7979396694967297,0.917056388714152,N,N
mesos,Q3 Sprint 2,2014-07-28 19:05:43.738000+00:00,2014-08-07 00:00:00+00:00,63.0,2237.0,0.028162717925793473,9,59.0,106.77966101694916,2,0,"['jieyu' 'dhamon' 'vinodkone' 'xujyan' 'bmahler' 'idownes'
 'alexandra.sava' 'benjaminhindman' nan 'bernd-mesos']","['vinodkone' nan 'idownes' 'xujyan' 'alexandra.sava' 'bmahler'
 'benjaminhindman' 'bernd-mesos']",8.0,2.0,0.0,10,0.0,0.05555555555555555,5,1.4,0.7142857142857143,6.3,-0.02964827536889295,-0.5363367124125609,N,N
mesos,Q3 Sprint 3,2014-08-11 19:00:25.705000+00:00,2014-08-23 00:00:00+00:00,18.0,59.0,0.3050847457627119,11,59.0,30.50847457627119,1,0,"['vinodkone' 'jieyu' 'xujyan' 'bmahler' 'alexandra.sava' 'idownes'
 'benjaminhindman' nan]","['jieyu' 'dhamon' 'vinodkone' 'xujyan' 'bmahler' 'idownes'
 'alexandra.sava' 'benjaminhindman' nan 'bernd-mesos']",10.0,0.0,2.0,8,0.05555555555555555,0.0,6,1.4,0.7142857142857143,2.25,-1.1088863993182743,0.5272043186418837,N,N
mesos,Q3 Sprint 4,2014-08-25 21:32:11.449000+00:00,2014-09-06 01:00:00+00:00,7.0,21.0,0.3333333333333333,11,59.0,11.864406779661017,1,0,"['dhamon' 'jieyu' nan 'nekto0n' 'bmahler' 'vinodkone' 'alexandra.sava'
 'idownes']","['vinodkone' 'jieyu' 'xujyan' 'bmahler' 'alexandra.sava' 'idownes'
 'benjaminhindman' nan]",8.0,2.0,2.0,8,0.0625,0.0625,7,1.8,0.5555555555555556,0.875,-2.0988628487312058,0.6356952616895178,N,N
mesos,Mesos Q3 Sprint 5,2014-09-08 18:00:33.129000+00:00,2014-09-22 18:00:00+00:00,266.0,831.0,0.3200962695547533,13,59.0,450.8474576271187,4,0,"['vinodkone' 'jieyu' 'idownes' 'dhamon' 'nekto0n' 'bmahler' 'xujyan'
 'alexandra.sava']",,0.0,0.0,0.0,8,0.0,0.0,8,1.0,1.0,33.25,1.714023347097601,0.5848572674383159,N,N
mesos,Mesos Q3 Sprint 6,2014-09-22 18:30:00+00:00,2014-10-06 18:00:00+00:00,6.0,1223.0,0.004905968928863451,13,59.0,10.16949152542373,1,0,['vinodkone' 'chzhcn' 'jieyu' 'idownes' nan 'bmahler' 'tstclair'],"['vinodkone' 'jieyu' 'idownes' 'dhamon' 'nekto0n' 'bmahler' 'xujyan'
 'alexandra.sava']",8.0,3.0,4.0,7,0.13333333333333333,0.1,9,2.4,0.4166666666666667,0.8571428571428571,-2.1204758063605182,-0.6256561031463876,N,N
