project,sprint.name,sprint.startDate,sprint.endDate,key,sprint.length
dnn,3.0 - Sprint 3,2014-11-19 19:33:00+00:00,2014-12-03 19:33:00+00:00,123,14 days 00:00:00.000000000
dnn,8.0.0 - Sprint 9,2014-11-25 19:00:00+00:00,2014-12-09 02:00:00+00:00,84,13 days 07:00:00.000000000
dnn,3.0 - Sprint 4,2014-12-03 19:33:52.179000+00:00,2014-12-17 19:33:00+00:00,121,13 days 23:59:07.821000000
dnn,8.0.0 - Sprint 10,2014-12-11 18:00:00+00:00,2014-12-24 02:00:00+00:00,76,12 days 08:00:00.000000000
dnn,8.0.0 - Sprint 11,2014-12-23 18:16:52.842000+00:00,2015-01-06 18:16:00+00:00,35,13 days 23:59:07.158000000
dnn,8.0.0 - Sprint 12,2015-01-08 21:00:00+00:00,2015-01-23 19:25:00+00:00,9,14 days 22:25:00.000000000
dnn,8.1.0 - Sprint 1,2015-02-04 15:23:57.101000+00:00,2015-02-18 15:23:00+00:00,109,13 days 23:59:02.899000000
dnn,8.1.0 - Sprint 1,2015-02-04 15:24:18.193000+00:00,2015-02-18 15:24:00+00:00,135,13 days 23:59:41.807000000
dnn,8.1.0 - Sprint 2,2015-02-20 16:52:44.867000+00:00,2015-03-05 16:52:00+00:00,104,12 days 23:59:15.133000000
dnn,8.1.0 - Sprint 2,2015-02-19 21:47:02.305000+00:00,2015-03-05 21:47:00+00:00,134,13 days 23:59:57.695000000
dnn,7.5.0 - Sprint 1,2015-02-26 20:43:57.546000+00:00,2015-03-11 19:43:00+00:00,10,12 days 22:59:02.454000000
dnn,Engage 8.1.0 - Sprint 3,2015-03-06 00:08:16.609000+00:00,2015-03-19 23:08:00+00:00,125,13 days 22:59:43.391000000
dnn,Content 8.1.0 - Sprint 3,2015-03-06 01:24:42.657000+00:00,2015-03-20 00:24:00+00:00,1,13 days 22:59:17.343000000
dnn,Platform 7.5.0 - Sprint 2,2015-03-11 20:39:46.532000+00:00,2015-03-25 20:39:00+00:00,153,13 days 23:59:13.468000000
dnn,Content 8.1.0 - Sprint 4,2015-03-19 22:56:34.207000+00:00,2015-04-02 22:56:00+00:00,109,13 days 23:59:25.793000000
dnn,Platform 8.0 - Sprint 3,2015-03-26 15:27:30.988000+00:00,2015-04-08 15:27:00+00:00,64,12 days 23:59:29.012000000
dnn,Engage 8.1.0 - Sprint 5,2015-04-03 06:11:29.221000+00:00,2015-04-17 06:11:00+00:00,100,13 days 23:59:30.779000000
dnn,Content 8.1.0 - Sprint 5,2015-04-03 06:16:10.252000+00:00,2015-04-17 06:16:00+00:00,35,13 days 23:59:49.748000000
dnn,8.1.0 - Sprint 6 (FF),2015-04-06 15:49:06.380000+00:00,2015-04-20 15:49:00+00:00,4,13 days 23:59:53.620000000
dnn,Content 8.1.0 - Sprint 6 (FF),2015-04-20 22:32:00+00:00,2015-05-04 20:32:00+00:00,7,13 days 22:00:00.000000000
dnn,Platform 8.0 - Sprint 4,2015-04-30 15:22:18.064000+00:00,2015-05-13 15:22:00+00:00,153,12 days 23:59:41.936000000
dnn,Engage 8.2.0 - Sprint 1,2015-05-26 15:36:55.552000+00:00,2015-06-09 13:36:00+00:00,106,13 days 21:59:04.448000000
dnn,Content 8.2.0 - Sprint 1,2015-05-26 15:37:40.110000+00:00,2015-06-09 15:37:00+00:00,32,13 days 23:59:19.890000000
dnn,Platform 8.0 - Sprint 5,2015-05-15 16:37:47.005000+00:00,2015-06-10 16:37:00+00:00,148,25 days 23:59:12.995000000
dnn,Engage 8.2.0 - Sprint 2,2015-06-11 23:03:56.440000+00:00,2015-06-25 21:03:00+00:00,5,13 days 21:59:03.560000000
dnn,Content 8.2.0 - Sprint 2,2015-06-11 23:53:48.211000+00:00,2015-06-25 23:53:00+00:00,43,13 days 23:59:11.789000000
dnn,Platform 8.0 - Sprint 6,2015-06-12 20:36:20.219000+00:00,2015-07-01 20:36:00+00:00,220,18 days 23:59:39.781000000
dnn,Content 8.2.0 - Sprint 3,2015-06-26 17:33:00+00:00,2015-07-10 17:03:00+00:00,22,13 days 23:30:00.000000000
dnn,Content 8.2.0 - Sprint 4,2015-07-13 16:43:48.684000+00:00,2015-07-27 16:43:00+00:00,21,13 days 23:59:11.316000000
dnn,Platform 8.0 - Sprint 7,2015-07-15 20:16:21.210000+00:00,2015-07-28 20:16:00+00:00,230,12 days 23:59:38.790000000
dnn,Content 8.2.0 - Sprint 5,2015-07-27 16:09:55.174000+00:00,2015-08-10 16:09:00+00:00,6,13 days 23:59:04.826000000
dnn,Platform 8.0 - Sprint 8,2015-07-29 18:15:21.008000+00:00,2015-08-18 21:00:00+00:00,94,20 days 02:44:38.992000000
dnn,Engage 8.2.0 - Sprint 6 (FF),2015-08-10 20:44:32.998000+00:00,2015-08-24 20:44:00+00:00,4,13 days 23:59:27.002000000
dnn,Content 8.2.0 - Sprint 6 (FF),2015-08-10 20:46:27.019000+00:00,2015-08-24 20:46:00+00:00,19,13 days 23:59:32.981000000
dnn,Engage 8.2.0 - Sprint 7 (FF),2015-08-24 20:47:56.338000+00:00,2015-09-07 20:47:00+00:00,4,13 days 23:59:03.662000000
dnn,Content 8.2.0 - Sprint 7 (FF),2015-08-24 20:50:00+00:00,2015-09-07 23:31:00+00:00,27,14 days 02:41:00.000000000
dnn,Platform 8.0 - Sprint 9,2015-08-28 14:02:50.287000+00:00,2015-09-17 16:47:00+00:00,702,20 days 02:44:09.713000000
dnn,Content 8.2 - Sprint 8,2015-09-08 22:33:14.580000+00:00,2015-09-29 01:18:00+00:00,17,20 days 02:44:45.420000000
dnn,Platform 8.0 - Sprint 10,2015-09-21 20:54:07.896000+00:00,2015-10-14 23:39:00+00:00,365,23 days 02:44:52.104000000
dnn,Platform 8.0 - Sprint 10 QA,2015-09-21 21:20:37.096000+00:00,2015-10-15 00:05:00+00:00,735,23 days 02:44:22.904000000
dnn,Platform 8.0 - Sprint 11 QA,2015-10-19 15:30:19.022000+00:00,2015-10-28 18:15:00+00:00,604,9 days 02:44:40.978000000
dnn,Platform 8.0 - Sprint 11,2015-10-16 19:33:48.761000+00:00,2015-10-28 22:18:00+00:00,375,12 days 02:44:11.239000000
dnn,Content 8.3 - Sprint 1,2015-10-06 20:38:17.906000+00:00,2015-10-28 23:23:00+00:00,2,22 days 02:44:42.094000000
dnn,Platform 8.0 - Sprint 12,2015-11-09 18:45:42.837000+00:00,2015-11-24 21:30:00+00:00,739,15 days 02:44:17.163000000
dnn,Platform 8.0 - Sprint 13,2015-11-25 20:04:49.891000+00:00,2015-12-09 22:49:00+00:00,734,14 days 02:44:10.109000000
dnn,Content 8.3 - Sprint 3,2015-11-25 20:18:53.513000+00:00,2015-12-09 23:03:00+00:00,3,14 days 02:44:06.487000000
dnn,Platform 8.0 - Sprint 14,2015-12-11 19:58:01.714000+00:00,2015-12-25 07:00:00+00:00,654,13 days 11:01:58.286000000
dnn,Content 8.3 - Sprint 4,2015-12-11 20:01:06.179000+00:00,2015-12-25 07:01:00+00:00,12,13 days 10:59:53.821000000
dnn,Engage 8.3.0 - Sprint 5 (FF),2015-12-29 18:34:29.679000+00:00,2016-01-13 21:19:00+00:00,1,15 days 02:44:30.321000000
dnn,Content 8.3 - Sprint 5 (FF),2015-12-29 18:46:56.179000+00:00,2016-01-14 05:48:00+00:00,6,15 days 11:01:03.821000000
dnn,Platform 8.0 - Sprint 15 (FF),2015-12-29 18:53:31.157000+00:00,2016-01-14 05:55:00+00:00,169,15 days 11:01:28.843000000
dnn,Platform 8.0.1 - Sprint 1,2016-01-19 19:14:02.998000+00:00,2016-02-03 06:16:00+00:00,498,14 days 11:01:57.002000000
dnn,Content 8.4 - Sprint 1,2016-01-19 19:16:18.020000+00:00,2016-02-03 06:18:00+00:00,66,14 days 11:01:41.980000000
dnn,Platform 8.0.1 - Sprint 2,2016-02-03 08:00:46.806000+00:00,2016-02-17 08:00:00+00:00,330,13 days 23:59:13.194000000
dnn,Content 8.4 - Sprint 2,2016-02-03 16:40:13.190000+00:00,2016-02-17 16:40:00+00:00,39,13 days 23:59:46.810000000
dnn,Platform 8.0.1 - Sprint 3,2016-02-23 01:35:01.698000+00:00,2016-03-08 01:35:00+00:00,191,13 days 23:59:58.302000000
dnn,Platform 8.0.1 - Sprint 4 (CF),2016-03-09 19:42:20.925000+00:00,2016-03-18 18:42:00+00:00,72,8 days 22:59:39.075000000
dnn,Content 8.4 - Sprint 4 (CF),2016-03-09 19:51:01.338000+00:00,2016-03-18 18:51:00+00:00,9,8 days 22:59:58.662000000
dnn,Platform 8.1 - Sprint 1,2016-03-18 01:23:58.084000+00:00,2016-03-24 01:23:00+00:00,131,5 days 23:59:01.916000000
dnn,Content 9.0 - Sprint 1,2016-03-18 01:36:08.348000+00:00,2016-03-24 01:36:00+00:00,1,5 days 23:59:51.652000000
dnn,Platform 8.1 - Sprint 2,2016-04-04 16:45:39.420000+00:00,2016-04-11 16:45:00+00:00,93,6 days 23:59:20.580000000
dnn,Engage 9.0 - Sprint 2,2016-04-04 16:50:02.999000+00:00,2016-04-11 16:50:00+00:00,1,6 days 23:59:57.001000000
dnn,Content 9.0 - Sprint 3,2016-04-12 21:54:20.347000+00:00,2016-04-19 21:54:00+00:00,4,6 days 23:59:39.653000000
dnn,Platform 8.1 - Sprint 3,2016-04-12 21:54:55.753000+00:00,2016-04-19 21:54:00+00:00,42,6 days 23:59:04.247000000
dnn,Platform 8.1 - Sprint 4,2016-04-20 17:56:43.264000+00:00,2016-04-27 17:56:00+00:00,35,6 days 23:59:16.736000000
dnn,Content 9.0 - Sprint 4,2016-04-20 17:57:41.583000+00:00,2016-04-27 17:57:00+00:00,4,6 days 23:59:18.417000000
